make,vehicleModel,manufacturedYear,registeredYear,mileage,previousOwners,exteriorColor,fuelType,condition,transmission,bodyType,engineCapacity,value,normalized_value,normalized_engineCapacity,normalized_mileage,normalized_manufacturedYear,normalized_registeredYear
toyota,prius,2014,2015,128000,3,white,hybrid,pre-owned,automatic,hatchback,1800,10300000,0.0969129166026724,0.4029850746268656,0.3097481056727422,0.8461538461538467,0.8205128205128176
toyota,prius,2013,2014,151000,2,silver,hybrid,pre-owned,automatic,hatchback,1800,8390000,0.0773562688783085,0.4029850746268656,0.36862584476756094,0.8205128205128176,0.7948717948717956
toyota,prius,2013,2014,132000,3,black,hybrid,pre-owned,automatic,hatchback,1800,9250000,0.08616187989556136,0.4029850746268656,0.3199877124718411,0.8205128205128176,0.7948717948717956
toyota,prius,2011,2013,170000,3,white,hybrid,pre-owned,automatic,hatchback,1800,7950000,0.07285107254390007,0.4029850746268656,0.4172639770632808,0.7692307692307665,0.7692307692307665
toyota,prius,2012,2015,143000,2,blue,hybrid,pre-owned,automatic,hatchback,1800,8650000,0.08001843034864076,0.4029850746268656,0.3481466311693631,0.7948717948717956,0.8205128205128176
toyota,prius,2013,2015,181000,3,white,petrol,pre-owned,automatic,hatchback,1800,10350000,0.09742487073158244,0.4029850746268656,0.4454228957608028,0.8205128205128176,0.8205128205128176
toyota,prius,2012,2014,115000,2,white,hybrid,pre-owned,automatic,hatchback,1800,8575000,0.07925049915527568,0.4029850746268656,0.2764693835756707,0.7948717948717956,0.7948717948717956
toyota,prius,2011,2013,215000,3,blue,petrol,pre-owned,automatic,hatchback,1800,8155000,0.07495008447243127,0.4029850746268656,0.5324595535531436,0.7692307692307665,0.7692307692307665
toyota,prius,2012,2013,120000,2,blue,hybrid,pre-owned,automatic,hatchback,1800,8900000,0.082578200993191,0.4029850746268656,0.2892688920745443,0.7948717948717956,0.7692307692307665
toyota,prius,2012,2014,133000,2,white,petrol,pre-owned,automatic,hatchback,1800,8530000,0.07878974043925664,0.4029850746268656,0.3225476141716158,0.7948717948717956,0.7948717948717956
toyota,prius,2013,2015,89000,1,silver,hybrid,pre-owned,automatic,hatchback,1800,9375000,0.08744176521783648,0.4029850746268656,0.20991193938152775,0.8205128205128176,0.8205128205128176
toyota,prius,2013,2014,180000,3,silver,hybrid,pre-owned,automatic,hatchback,1800,9200000,0.08564992576665131,0.4029850746268656,0.4428629940610281,0.8205128205128176,0.7948717948717956
toyota,axio,2016,2017,104000,1,brown,hybrid,pre-owned,automatic,sedan,1500,11290000,0.10704960835509139,0.25373134328358204,0.24831046487814867,0.8974358974358978,0.8717948717948687
toyota,axio,2015,2016,150000,1,white,hybrid,pre-owned,automatic,sedan,1500,10600000,0.0999846413761327,0.25373134328358204,0.36606594306778617,0.8717948717948687,0.8461538461538467
toyota,axio,2017,2018,87127,1,white,hybrid,pre-owned,automatic,sedan,1500,13190000,0.12650386525367327,0.25373134328358204,0.20511724349784968,0.9230769230769198,0.8974358974358978
toyota,axio,2017,2017,77500,1,white,hybrid,pre-owned,automatic,sedan,1500,13300000,0.12763016433727536,0.25373134328358204,0.18047306983411837,0.9230769230769198,0.8717948717948687
toyota,axio,2014,2015,126000,2,red,hybrid,pre-owned,automatic,sedan,1500,9290000,0.0865714431986894,0.25373134328358204,0.3046283022731927,0.8461538461538467,0.8205128205128176
toyota,axio,2011,2013,140000,2,gray,petrol,pre-owned,automatic,sedan,1500,7950000,0.07285107254390007,0.25373134328358204,0.3404669260700389,0.7692307692307665,0.7692307692307665
toyota,axio,2014,2014,151000,2,red,hybrid,pre-owned,automatic,sedan,1500,9275000,0.08641785696001639,0.25373134328358204,0.36862584476756094,0.8461538461538467,0.7948717948717956
toyota,axio,2019,2019,50000,2,white,hybrid,pre-owned,automatic,sedan,1500,15990000,0.15517329647263603,0.25373134328358204,0.11007577309031333,0.9743589743589709,0.9230769230769198
toyota,axio,2015,2016,160000,2,red,petrol,pre-owned,automatic,sedan,1500,11650000,0.11073567808324374,0.25373134328358204,0.3916649600655335,0.8717948717948687,0.8461538461538467
toyota,axio,2017,2018,98000,1,white,petrol,pre-owned,automatic,sedan,1500,14950000,0.144524650591307,0.25373134328358204,0.23295105467950028,0.9230769230769198,0.8974358974358978
toyota,aqua,2013,2014,181000,3,blue,hybrid,pre-owned,automatic,hatchback,1500,6750000,0.06056417345005888,0.25373134328358204,0.4454228957608028,0.8205128205128176,0.7948717948717956
toyota,aqua,2013,2013,140000,2,silver,hybrid,pre-owned,automatic,hatchback,1500,6900000,0.062100035836789025,0.25373134328358204,0.3404669260700389,0.8205128205128176,0.7692307692307665
toyota,aqua,2013,2015,115000,2,silver,hybrid,pre-owned,automatic,hatchback,1500,6950000,0.06261198996569907,0.25373134328358204,0.2764693835756707,0.8205128205128176,0.8205128205128176
toyota,aqua,2015,2016,98000,1,silver,petrol,pre-owned,automatic,hatchback,1500,9075000,0.08437004044437618,0.25373134328358204,0.23295105467950028,0.8717948717948687,0.8461538461538467
toyota,aqua,2013,2014,135000,2,white,hybrid,pre-owned,automatic,hatchback,1500,7950000,0.07285107254390007,0.25373134328358204,0.32766741757116524,0.8205128205128176,0.7948717948717956
toyota,aqua,2015,2016,87000,1,white,hybrid,pre-owned,automatic,hatchback,1000,8790000,0.0814519019095889,0.00497512437810943,0.2047921359819783,0.8717948717948687,0.8461538461538467
toyota,aqua,2013,2015,104000,1,black,hybrid,pre-owned,automatic,hatchback,1500,7550000,0.06875543951261967,0.25373134328358204,0.24831046487814867,0.8205128205128176,0.8205128205128176
toyota,aqua,2014,2015,139000,2,blue,hybrid,pre-owned,automatic,hatchback,1500,7375000,0.0669636000614345,0.25373134328358204,0.3379070243702642,0.8461538461538467,0.8205128205128176
toyota,aqua,2012,2013,147000,2,orange,petrol,pre-owned,automatic,hatchback,1500,6575000,0.0587723339988737,0.25373134328358204,0.35838623796846203,0.7948717948717956,0.7692307692307665
toyota,aqua,2012,2013,136000,2,red,hybrid,pre-owned,automatic,hatchback,1500,6600000,0.05902831106332873,0.25373134328358204,0.33022731927094,0.7948717948717956,0.7692307692307665
toyota,aqua,2012,2014,106000,1,black,hybrid,pre-owned,automatic,hatchback,1500,6875000,0.061844058772333996,0.25373134328358204,0.25343026827769816,0.7948717948717956,0.7948717948717956
toyota,aqua,2013,2015,123000,2,blue,petrol,pre-owned,automatic,hatchback,1500,7475000,0.0679875083192546,0.25373134328358204,0.2969485971738685,0.8205128205128176,0.8205128205128176
toyota,aqua,2013,2015,109000,2,black,petrol,pre-owned,automatic,hatchback,1500,7275000,0.06593969180361439,0.25373134328358204,0.2611099733770223,0.8205128205128176,0.8205128205128176
toyota,aqua,2013,2014,152000,3,white,hybrid,pre-owned,automatic,hatchback,1500,6990000,0.06302155326882711,0.25373134328358204,0.37118574646733565,0.8205128205128176,0.7948717948717956
toyota,aqua,2014,2015,59000,1,orange,hybrid,pre-owned,automatic,hatchback,1500,7790000,0.07121281933138791,0.25373134328358204,0.1331148883882859,0.8461538461538467,0.8205128205128176
toyota,aqua,2014,2016,130000,2,blue,hybrid,pre-owned,automatic,hatchback,1500,7480000,0.0680387037321456,0.25373134328358204,0.3148679090722916,0.8461538461538467,0.8461538461538467
toyota,aqua,2015,2016,116000,2,white,petrol,pre-owned,automatic,hatchback,1500,8750000,0.08104233860646086,0.25373134328358204,0.2790292852754454,0.8717948717948687,0.8461538461538467
toyota,aqua,2015,2017,117000,2,white,hybrid,pre-owned,automatic,hatchback,1500,8990000,0.0834997184252291,0.25373134328358204,0.2815891869752202,0.8717948717948687,0.8717948717948687
toyota,aqua,2015,2016,140000,2,black,petrol,pre-owned,automatic,hatchback,1500,9050000,0.08411406337992117,0.25373134328358204,0.3404669260700389,0.8717948717948687,0.8461538461538467
